Location,Latitude,Longitude,Total Incidents
Brooklyn,39.23696,-76.60848,655
Brooklyn,39.23696,-76.60848,656
Downtown,39.29406,-76.61823,657
Irvington,39.27815,-76.68352,658
Hamilton Hills,39.36839,-76.56678,659
Fells Point,39.28446,-76.59631,660
Graceland Park,39.27254,-76.5303,661
Canton,39.28263,-76.57845,662
Jonestown,39.28994,-76.60209,663
Franklin Square,39.28838,-76.64145,664
McElderry Park,39.29501,-76.57721,665
East Baltimore Midway,39.31149,-76.60888,666
Central Park Heights,39.34045,-76.6671,667
Penn North,39.3144,-76.64128,668
South Clifton Park,39.31426,-76.58974,669
Locust Point Industrial Area,39.27194,-76.5944,670
Northwest Community Action,39.3059,-76.66734,671
Seton Hill,39.29771,-76.6244,672
Oldtown,39.3015,-76.60354,673
Seton Hill,39.29771,-76.6244,674
Inner Harbor,39.28673,-76.60844,675
Waverly,39.33143,-76.60942,676
Belair-Edison,39.31504,-76.56331,677
Concerned Citizens Of Forest Park,39.3237,-76.68136,678
Oldtown,39.30025,-76.60007,679
New Northwood,39.34537,-76.59506,680
Mount Vernon,39.29731,-76.61612,681
Bolton Hill,39.30878,-76.62557,682
Frankford,39.32746,-76.55429,683
Hillen,39.34021,-76.59093,684
Walbrook,39.31344,-76.66784,685
Hamilton Hills,39.36312,-76.56677,686
Rosemont,39.30418,-76.67209,687
Canton,39.28549,-76.58569,688
Ednor Gardens-Lakeside,39.33382,-76.59307,689
Winston-Govans,39.35266,-76.60976,690
Brewers Hill,39.28663,-76.56601,691
Broening Manor,39.27312,-76.53983,692
Remington,39.32076,-76.62362,693
Remington,39.32076,-76.62362,694
Patterson Place,39.29366,-76.58335,695
Reservoir Hill,39.31555,-76.63755,696
Glenham-Belhar,39.34698,-76.53951,697
Gwynns Falls,39.27983,-76.66656,698
Woodmere,39.34349,-76.68319,699
Sandtown-Winchester,39.30118,-76.63827,700
Inner Harbor,39.28779,-76.61215,701
Cherry Hill,39.2489,-76.62503,702
Gwynns Falls,39.27987,-76.66656,703
Harlem Park,39.29536,-76.64012,704
Edgewood,39.29414,-76.6744,705
Barclay,39.31353,-76.61111,706
CARE,39.29768,-76.58786,707
Inner Harbor,39.28367,-76.60173,708
Mount Holly,39.31089,-76.6756,709
Arlington,39.34476,-76.68321,710
Morrell Park,39.26961,-76.65221,711
Reservoir Hill,39.31219,-76.63563,712
Woodbourne Heights,39.35867,-76.5909,713
Broadway East,39.31148,-76.58453,714
Belair-Edison,39.32207,-76.56944,715
Hamilton Hills,39.36818,-76.56682,716
Reservoir Hill,39.31264,-76.63269,717
Waltherson,39.34359,-76.55555,718
Cherry Hill,39.25745,-76.63173,719
Irvington,39.28161,-76.68862,720
Fells Point,39.28316,-76.59351,721
Sandtown-Winchester,39.3055,-76.64062,722
Carrollton Ridge,39.28615,-76.64598,723
Arlington,39.34986,-76.68667,724
Hanlon-Longwood,39.32027,-76.67559,725
Hanlon-Longwood,39.32027,-76.67559,726
Hanlon-Longwood,39.32027,-76.67559,727
Reisterstown Station,39.35511,-76.71084,728
Fairfield Area,39.23458,-76.59662,729
Reisterstown Station,39.35412,-76.6995,730
Poppleton,39.29105,-76.631,731
Brooklyn,39.22958,-76.60162,732
Reservoir Hill,39.31089,-76.63438,733
Reservoir Hill,39.31089,-76.63438,734
Pen Lucy,39.34178,-76.60343,735
Dunbar-Broadway,39.29529,-76.59129,736
Dunbar-Broadway,39.29529,-76.59129,737
Windsor Hills,41.5152,-76.67171,738
Coldstream Homestead Montebello,39.32156,-76.59128,739
Coldstream Homestead Montebello,39.32156,-76.59128,740
Edmondson Village,39.29714,-76.68048,741
Old Goucher,39.31645,-76.61687,742
Frankford,39.33141,-76.55873,743
Beechfield,39.27527,-76.69414,744
Madison Park,39.30602,-76.63203,745
Orchard Ridge,39.30961,-76.56295,746
Idlewood,39.37022,-76.59248,747
Ashburton,39.33459,-76.67418,748
Coppin Heights/Ash-Co-East,39.30895,-76.6551,749
Harwood,39.32039,-76.60951,750
Coldspring,39.34362,-76.6523,751
Rosemont,39.30515,-76.66813,752
Glen,39.35212,-76.68867,753
Ellwood Park/Monument,39.29906,-76.57605,754
Park Circle,39.32529,-76.66169,755
Howard Park,39.33123,-76.69897,756
Belair-Edison,39.31683,-76.56285,757
McElderry Park,39.29619,-76.57783,758
Levindale,39.35258,-76.66524,759
Woodmere,39.34539,-76.68962,760
Baltimore Highlands,39.29433,-76.56829,761
Brooklyn,39.22866,-76.5976,762
Barclay,39.31188,-76.60951,763
Patterson Park Neighborhood,39.29333,-76.57722,764
Abell,39.32465,-76.61221,765
Old Goucher,39.31778,-76.61783,766
Glen,39.35316,-76.68322,767
Berea,39.30732,-76.57996,768
Poppleton,39.29104,-76.63825,769
West Arlington,39.33872,-76.68596,770
Morrell Park,39.2583,-76.66262,771
Hoes Heights,39.33758,-76.63487,772
Arcadia,39.3377,-76.57244,773
Mount Vernon,39.30024,-76.61857,774
Carrollton Ridge,39.28511,-76.6486,775
Inner Harbor,39.28771,-76.60696,776
Millhill,39.28388,-76.65512,777
Better Waverly,39.3255,-76.60618,778
Patterson Park Neighborhood,39.29349,-76.57183,779
